0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:38:20 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/image/homecheflogo.png HTTP/1.1" 404 855
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:38:20 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1380
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:38:20 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/image/homecheflogo.png HTTP/1.1" 404 855
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:38:45 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1383
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:39:04 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1383
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:39:15 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1383
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:39:46 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1411
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:40:41 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1478
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:41:09 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1503
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:41:20 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1508
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:41:27 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1508
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:41:28 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1508
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:41:29 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1508
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:41:29 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1508
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:41:29 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1508
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:41:34 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1508
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:42:15 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1519
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:42:31 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1519
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:42:32 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1519
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:42:36 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1508
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:43:42 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1508
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:43:43 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1508
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:43:45 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1508
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:45:13 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1490
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:45:19 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1490
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:45:22 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1490
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:45:45 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1514
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:46:11 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1457
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:46:18 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1540
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:46:35 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1520
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:47:06 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1571
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:47:14 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1571
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:47:16 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1571
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:47:17 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1571
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:47:26 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1573
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:47:32 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1573
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:47:34 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1573
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:47:35 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1573
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:47:35 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1573
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:47:35 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1573
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:47:35 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1573
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:47:37 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1573
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:47:45 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1571
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:47:55 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1571
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:48:00 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1571
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:48:01 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1571
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:48:01 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1571
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:48:17 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1571
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:48:54 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1542
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:48:55 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1542
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:48:56 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1542
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:49:29 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1525
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:49:32 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1525
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:49:43 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1540
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:50:13 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1549
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:50:15 +0900] "GET /FinalProject/com/yju/2wda/2101198/controller/view/user/login.jsp HTTP/1.1" 200 1549
0:0:0:0:0:0:0:1 - - [23/Nov/2022:09:52:10 +0900] "GET /FinalProject/index.jsp HTTP/1.1" 200 7014
0:0:0:0:0:0:0:1 - - [23/Nov/2022:10:01:13 +0900] "GET /FinalProject/index.jsp HTTP/1.1" 200 7014
0:0:0:0:0:0:0:1 - - [23/Nov/2022:10:01:49 +0900] "GET /FinalProject/index.jsp HTTP/1.1" 200 7011
0:0:0:0:0:0:0:1 - - [23/Nov/2022:10:01:56 +0900] "GET /FinalProject/index.jsp HTTP/1.1" 200 7014
0:0:0:0:0:0:0:1 - - [23/Nov/2022:10:01:56 +0900] "GET /FinalProject/index.jsp HTTP/1.1" 200 7014
